possibilidade_de_retirada_de_consentimento;u_unidade_tempo;outra_fonte_origem_dos_dados_pessoais;temporalidade;finalidade;declaracaociencia;compartilhamento_com_terceiros_operadores;number;meio_automatizado;lgpd_area;quais_areas_internas_da_organizacao;tipos_de_terceiros;finalidade_compartilhamento_interno;u_instrumentos_juridicos_sugeridos;medidas_seguranca;descricao_retirada_consentimento;os_dados_tratados_sao_limitados_aos_fins_espec_ficos_que_justificam_sua_coleta;tipo_dado_pessoal;fonte_origem_dos_dados_pessoais;outras_finalidades_areas_internas;lgpd_processo;nome_dos_terceiros;qual_o_canal_de_comunicacao;categoria_dados;assinale_abaixo_as_pol_ticas_j_utilizadas_na_sua_rea_processo;partes_que_acessam_usam_os_dados;outro_tipo_dado_pessoal;outras_medidas_seguranca;canal_de_comunicacao_questionario;base_legal_lgpd;outras_categoria_dados;outros_metodo_de_transferencia_para_destinos;descricao_do_processo;u_direitos_titular;finalidade_outro;u_conformidade;localizacao;lgpd_diretoria;paises_utilizando_o_processo;nome_do_questionario;lgpd_sistema;solicitacao_de_consentimento_quanto_a_coleta;areas_internas_com_acesso_aos_dados;metodo_de_transferencia_para_destinos;ha_transferencia_internacional_de_dados_pessoais;dado_pessoal_sensivel;titulares_de_dados_volume;localizacao_outro;outros_sistemas
;;cadastro em sistema;Indeterminado;Atividades Administrativas;VERDADEIRO;Não;Q0025921;;CAASP - TESOURARIA - FINANCEIRO;Convênios Médicos e Financeiro.;;Atividades Administrativas;"ARTIGO 4ª ESTATUTO DA CAASP (CONCEDER BENEFÍCIOS AOS ADV E FAMÍLIA) - ""A CAASP tem por finalidade assistir, dentro das possibilidades de seu orçamento, os advogados, estagiários e seus dependentes, na forma prevista neste Estatuto e na legislação própria""  ARTIGO 62 EAOAB - Art. 62. A Caixa de Assistência dos Advogados, com personalidade jurídica própria, destina-se a prestar assistência aos inscritos no Conselho Seccional a que se vincule. ";Controle de Acesso;;Não;OAB n°, Nome, Outros tipos de dados pessoais;Outras fontes de Dados;;CAASP - TESOURARIA - FINANCEIRO - Consulta de recibo guia médica;;Portal do titular e email,;Dados dos advogados(as), Dados de empregados, Dados dos estagiários(as);;;endereço, n.º guia, procedimento, valor gasto.;;Sim;Art. 7°, II – Cumprimento de Obrigação Legal;;;Acesso pelo sistema  ao n.º OAB, nome advogado, endereço, n.º guia, procedimento, valor gasto.;;;Sim;Sistemas/ Aplicativos de Terceiros;CAASP - Tesouraria;Brasil;Consulta de recibo guia médica - Q0025921;Intranet GMS;;Sim;;Não;;de 100.000 a 1.000.000;;
Não;Anos;;5;Atividades Administrativas;VERDADEIRO;Não;Q0025923;;OAB/SP - PRESIDÊNCIA - COMISSÃO ELEITORAL;Departamento de Tecnologia da Informação.;;Atividades Administrativas;Regulamento Geral da OAB (Art. 128 - 137-C), Provimento 146/2011 do CFOAB e Instrução 02 da Comissão Eleitoral de 2021.;Firewall, Controle de Acesso, Gestão de Senhas;;Não;Nome, E-mail;E-mail;;OAB/SP - PRESIDÊNCIA - COMISSÃO ELEITORAL - Propaganda eleitoral;;Portal do tirular e email.;Dados de candidatos, Dados dos advogados(as);Regulamento Geral da OAB (Art. 128 - 137-C), Provimento 146/2011 do CFOAB e Instrução 02 da Comissão Eleitoral de 2021.;Gmail - EUA;;;Sim;Art. 11, II, a – Cumprimento de Obrigação Regulatória;;;O candidato a presidente de cada chapa, atendendo ao estabelecido no Regulamento Geral da OAB, no Provimento 146/2011- do Conselho Federal da OAB e na Instrução 02, da Comissão Eleitoral, encaminha, por e-mail, o material de propaganda de sua chapa à ser divulgado para todos os inscritos(as) daquela Seccional/Subseção. Após análise do conteúdo do material, a Comissão Eleitoral faz o encaminhamento da peça publicitária para o Departamento de TI que realiza o agendamento dos disparos, que normalmente são realizados nas terças e quintas, por meio do programa AKNA. O candidato a presidente de chapa é comunicado, por e-mail, sobre as datas que os disparos ocorrerão.;Correção de dados incompletos, inexatos ou desatualizados;;Sim;E-mail, Pastas e Documentos no E-mail;OAB/SP - Presidência;Brasil;Propaganda eleitoral;Google Gmail (E-mail), Akna;Não;Sim;;Sim;;de 1.000 a 10.000;;
;;cadastro em sistema;Indeterminado;Atividades Administrativas;VERDADEIRO;Não;Q0025924;;CAASP - TESOURARIA - FINANCEIRO;Odontologia e Financeiro.;;Atividades Administrativas;"ARTIGO 4ª ESTATUTO DA CAASP (CONCEDER BENEFÍCIOS AOS ADV E FAMÍLIA) - ""A CAASP tem por finalidade assistir, dentro das possibilidades de seu orçamento, os advogados, estagiários e seus dependentes, na forma prevista neste Estatuto e na legislação própria""  ARTIGO 62 EAOAB - Art. 62. A Caixa de Assistência dos Advogados, com personalidade jurídica própria, destina-se a prestar assistência aos inscritos no Conselho Seccional a que se vincule.  ";Controle de Acesso;;Não;OAB n°, Nome, Outros tipos de dados pessoais;Outras fontes de Dados;;CAASP - TESOURARIA - FINANCEIRO - Consulta de recibo ODT;;;Dados dos advogados(as), Dados de empregados, Dados dos estagiários(as);;;n.º tratamento, valor gasto.;;Não;Art. 7°, II – Cumprimento de Obrigação Legal;;;Acesso pelo sistema  ao n.º OAB, nome advogado, n.º tratamento, valor gasto.;;;Sim;Sistemas/ Aplicativos de Terceiros;CAASP - Tesouraria;Brasil;Consulta de recibo ODT - Q0025924;Intranet Odonto;;Sim;;Não;;de 100.000 a 1.000.000;;
;Anos;;3;Atividades Administrativas, Atividades de Consultorias;VERDADEIRO;Sim;Q0025925;;OAB/SP - SECRETARIA GERAL ADJUNTA - DEPARTAMENTO DE GESTÃO INTEGRADA - DGI;;Entidade Profissional Reguladora;;NBR ISO 9001  ;Backup ou Cópia de Segurança;;Não;Nome, Histórico de pesquisas online;Monitoramento de Atividade Online;;OAB/SP - SECRETARIA GERAL ADJUNTA - DEPARTAMENTO DE GESTÃO INTEGRADA - DGI - Análise Crítica;Auditor ISO 9001 da Certificadora contratada durante o exercício das auditorias.;;Dados de empregados, Outras categorias;No contrato há uma clausula de sigilo quanto as informações coletadas no processo de auditoria.;;;;Não;Art. 7°, II – Cumprimento de Obrigação Regulatória;Assinatura (em caso de ata física) Em caso de registro de manifestação oriunda da pesquisa de satisfação é inserido a manifestação em ata, normalmente não recomendamos a divulgação do nome do advogado, porém descrevemos a manifestação.;;Trimestralmente nosso departamento recebe de todas as Áreas da Secional, Turmas do TED e Subseções as Atas de Reunião de Dados. Estas atas tem como objetivo analisar criticamente o sistema de gestão da qualidade individualmente e assegurar a melhoria contínua, suficiência, eficácia e alinhamento com o direcionamento estratégico. Recebemos primeiramente o esboço da ata para auxiliar no preenchimento e garantir que todas as informações sejam preenchidas e após a realização da reunião recebemos a Ata finalizada e assinada pelos participantes (Representantes do SGQ e superior responsável). Os dados que compõe a ata são nome e assinatura dos colaboradores , gerencia e ou diretoria participante da reunião. Em caso de elogio de colaborador pode ser registrada o nome do colaborador.  Recebemos esse material por e-mail e salvamos na Rede - Qualidade. Não compartilhamos.;;;Parcialmente;E-mail, Pastas de Rede Compartilhada, Outras Localizações;OAB/SP - Secretaria Geral Adjunta;Brasil;DGI - 2;Google Gmail (E-mail), Google Meet, Servidor de Arquivos, Google Drive, Microsoft Word;Não;Não;Documentos Físicos, Cópia Eletrônica de Documentos;Não;;de  0 a 1.000;documento físico arquivado nos respectivos departamentos conforme especificado no MACR - Mapa de Acompanhamento de controle de resgistro.;
Não sei;indeterminado;;Não sei;Compliance, Atividades Administrativas;VERDADEIRO;Não;Q0025926;;OAB/SP - TESOURARIA - CONTROLADORIA - SETOR INFORMAÇÕES GERENCIAIS;Departamento de Administração de Sistemas Integrados (DASI). Departamento de Controladoria. Departamento de Engenharia. Departamento de Recursos Humanos. Departamento de Subseções. Departamento de Suprimentos.;;Atividades Administrativas, Parceiros de Negócio;CLT - Analisar os pedidos dos setores da OAB e verificar se há previsão orçamentária é atividade inerente ao contrato de trabalho dos colaboradores do Departamento da Controladoria. ;Não há;;Não;CPF, RG, Data de aniversário/nascimento, Celular, Dados bancários, E-mail;Scanner/Digitalização;;OAB/SP - TESOURARIA - CONTROLADORIA - SETOR INFORMAÇÕES GERENCIAIS - Análise de previsão orçamentária;;Áreas de origens interagem com os prestadores de serviços via e-mail.;Dados de prestadores de serviços - pessoa física;;Dados disponíveis em ferramentas Google, Estados Unidos da América;;;Não;Art. 7°, V – execução de contrato ou de procedimentos preliminares;;;Trata-se de análise orçamentária, visando posterior tomada de decisões pela Diretoria. Nesse processo , cada solicitação é analisada dentro dos contextos orçamentários/financeiros para realizações de despesas e investimentos por cada de centro de custos pertencente a OAB/SP.;Nenhum dos itens anteriores;;Parcialmente;Nuvem, Sistemas/ Aplicativos de Terceiros;OAB/SP - Tesouraria;Brasil;Análise de Previsão Orçamentária;Protheus;Não sei;Sim;;Sim;;de  0 a 1.000;;
Não;;;Indeterminado;Outras Finalidades;VERDADEIRO;Não;Q0025927;;OAB/SP - PRESIDÊNCIA - SOCIEDADES DE ADVOGADOS;;;;Cumprimento de obrigação determinada em INSTRUÇÃO NORMATIVA Nº 7/21 e Provimento Nº 112/2006.;Backup ou Cópia de Segurança;;Não;Celular, CPF, E-mail, Nome, OAB n°, Telefone fixo, Outros tipos de dados pessoais;Via física;;OAB/SP - PRESIDÊNCIA - SOCIEDADES DE ADVOGADOS - Cópia de Atos Societário;;Portal do titular e email.;Dados dos advogados(as), Outras categorias;;;Endereço;;Sim;Art. 7°, II – Cumprimento de Obrigação Legal;Qualquer pessoa física ou jurídica pode realizar a solicitação de copia;;Copia ocorre preenchimento de requerimento onde é coletado os seguintes dados: CPF, OAB, endereço, e-mail, telefone do solicitante que pode ser advogado ou não. O documento fornecido ao interessado/advogado será constando a seguintes informações, tendo em vista que fornecida a cópia na integra do ato solicitado (nos atos sempre terá as seguintes informações: número da OAB, CPF, RG, endereço pessoal, endereço da sociedade, estado civil, nacionalidade, e-mail, telefone podendo constar o celular ou fixo);;Para entrega ao solicitante;Parcialmente;Outras Localizações;OAB/SP - Presidência;Brasil;COPIA DE ATOS SOCIETARIO;;Não;Não;;Não;;de  0 a 1.000;As copias depois de confeccionada, ficam armazenada em um arquivo com porta fechado, sem cadeado;
Não;Anos;Intranet OAB SP.;5;Atividades Jurídicas, Atividades Administrativas;VERDADEIRO;Não;Q0025928;;OAB/SP - PRESIDÊNCIA - COMISSÃO ELEITORAL;Departamento de TI. Departamento de Cadastro e Inscrições. Departamento financeiro. Departamento Jurídico. Tribunal de Ética e Disciplina da OAB SP.;;Atividades Administrativas;Estatuto da Advocacia da Ordem dos Advogados do Brasil (Art. 63 a 67), Regulamento Geral da OAB (Art. 128 a 137-C), Provimento 146/2011 do Conselho Federal da OAB, Regimento Interno da OAB SP (Art. 5° a 14) e Edital de Convocação para as Eleições da OAB SP.;Bloqueio de Acesso, Controle de Acesso, Outras Medidas de Segurança, Firewall;;Não;E-mail, Nome, OAB n°, Telefone fixo, Celular, Outros tipos de dados pessoais;E-mail, Via física, Outras fontes de Dados;;OAB/SP - PRESIDÊNCIA - COMISSÃO ELEITORAL - Registro de Chapas;;Portal do titular e email.;Dados de candidatos, Dados dos advogados(as);Estatuto da Advocacia da Ordem dos Advogados do Brasil (Art. 63 a 67), Regulamento Geral da OAB (Art. 128 a 137-C), Provimento 146/2011 do Conselho Federal da OAB, Regimento Interno da OAB SP (Art. 5° a 14) e Edital de Convocação para as Eleições da OAB SP.;Gmail - EUA;Endereço residencial e comercial. situação financeira do(a) candidato(a). e declaração étnico racial.;Arquivos físicos estão armazenados em armários, fechados com chave, dentro do departamento.;Sim;Art. 7°, II – Cumprimento de Obrigação Legal;;;O candidato a presidente de cada chapa, protocoliza, na secretaria da Comissão Eleitoral, ou, na sede da Subseção, o requerimento de pedido de registro de chapa com todos os documentos necessários anexos. Os registros protocolizados nas Subseções são encaminhados de imediato, por e-mail, e posteriormente, via malote, para a Comissão Eleitoral. A Comissão Eleitoral autua o processo e realiza análise das condições de elegibilidade de todos os candidatos daquela chapa. Essa análise é feita com a ajuda de colaboradores de outros departamento, são estes: Departamento de Cadastro e Inscrições, Departamento Financeiro, Departamento Jurídico e Tribunal de Ética e disciplina. Estando a chapa regular (atendendo a todos os requisitos previstos na legislação da OAB) a Comissão Eleitoral realiza a publicação da relação de todas as chapas que requereram o registro, no Diário Eletrônico da OAB e no prazo de três dias úteis, após a publicação, as chapas concorrentes podem apresentar suas impugnações. Encerrado o prazo de apresentação das impugnações inicia-se o prazo para apresentação de defesa, por parte das chapas que foram impugnadas. Após finalizado o prazo, a Comissão terá cinco dias úteis para formular decisão. No julgamento das impugnações, previamente agendado pela Comissão eleitoral, todos os processos são julgados e todos os registros são homologados pela Comissão Eleitoral. Após a sessão de julgamento todas as chapas são notificadas, por e-mail, sobre a decisão, iniciando de imediato a contagem de prazo para apresentação de recursos. Demais notificações são encaminhadas para os interessados de cada chapa e seus procuradores, por e-mail, nos endereços eletrônicos informados na peça inicial. Recursos e contrarrazões também devem ser protocolizados presencialmente.;Correção de dados incompletos, inexatos ou desatualizados;;;Pastas e Documentos na Nuvem, Pastas e Documentos no E-mail, Planilhas;OAB/SP - Presidência;Brasil;Registro de Chapas;Google Gmail (E-mail), Fine Read (Editor de PDF), Intranet, Site da OAB SP, Sistema do TED, Intranet Financeiro;Não;Sim;;Sim;Origem Racial, Etnia;de 1.000 a 10.000;;
Não sei;indeterminado;;Não sei;Atividades Administrativas;VERDADEIRO;Sim;Q0025930;;OAB/SP - TESOURARIA - CONTROLADORIA - SETOR INFORMAÇÕES GERENCIAIS;Departamento de Protocolo Geral.;Entidade Profissional Reguladora;Atividades Administrativas;Cumprimento de obrigação legal e regulatória - art. 54, XII da Lei Federal n. 8.906/94 c/c  as Seccionais devem prestar contas ao CFOAB. Envio de balancete ao Conselho Federal da OAB, em observância aos termos do § 2º do artigo 9º, do Provimento 101/2003, alterado pelos Provimentos 104/2004 e 121/2007 e 185/2018. Execução de contrato - CLT e/ou prestação de serviços - Os contadores que assina a prestação de contas o faz em razão de obrigação contratual em razão de relação de emprego ou de prestação de serviços autônomo.;Não há;;Não sei;Outros tipos de dados pessoais;Via física;;OAB/SP - TESOURARIA - CONTROLADORIA - SETOR INFORMAÇÕES GERENCIAIS - Envio Balancetes Conselho Federal;Conselho Federal da Ordem dos Advogados do Brasil;;Dados de empregados;;Dados disponíveis em ferramentas Google;CRC;;;Art. 7°, II – Cumprimento de Obrigação Legal;;;Envio de balancete ao Conselho Federal da OAB, em observância aos termos do § 2º do artigo 9º, do Provimento 101/2003, alterado pelos Provimentos 104/2004 e 121/2007 e 185/2018.;;;Não;Pastas e Documentos no E-mail, Pastas de Rede Compartilhada;OAB/SP - Tesouraria;Brasil;Balancetes ao Conselho Federal da OAB;Intranet;Não sei;Não;Documentos Físicos, E-Mail;Sim;;de  0 a 1.000;;
Não;;;Indeterminado;Atividades Administrativas, Cumprimento de Obrigação Legal ou Regulatória (Descreva qual no campo “Outras Finalidades e anexe o contrato), Documentação do Cliente;VERDADEIRO;Sim;Q0025931;;CAASP - VICE-PRESIDÊNCIA - FARMÁCIA;Farmácia, tesouraria, benefícios, diretoria.;"Demais Órgãos Públicos (especificar quais no campo ""Nome dos Terceiros""), Empresas Privadas (especificar quais no campo ""Nome dos Terceiros"")";Atividades Administrativas;Contrato de prestação de serviço entre usuário e CAASP;Backup ou Cópia de Segurança, Firewall, Bloqueio de Acesso, Gestão de Senhas;;Não;Celular, Dados bancários, Dados de cartão crédito/débito, Data de aniversário/nascimento, E-mail, Histórico de compras, Imagens de câmera de segurança, Informações da família, Nome, OAB n°, RG;E-mail, Scanner/Digitalização, Via física;;CAASP - VICE-PRESIDÊNCIA - FARMÁCIA - Semc(Receituário de Controle Especial);SEMC (Sistema de Escrituração de Medicamentos Controlados) ANVISA (Agência Nacional de Vigilância Sanitária);;Dados dos advogados(as), Dados dos estagiários(as), Dados de empregados;Não há.;;;;Não;Art. 11, II, d – exercício regular de direitos em contrato, processo judicial, administrativo ou arbitral;;Através do sistema de lançamento de receitas (SEMC).  Transferência de arquivos para a ANVISA.;Recebemos o Usuário no balcão de atendimento onde é fornecido o receituário para o atendente. Este receituário contém uma série de informações pessoais e quando é necessário a retenção da mesma são coletados mais dados e posteriormente informados ao SEMC (Sistema de Escrituração de Medicamentos Controlados), após isso são arquivados. Existem algumas situações em que os receituários são digitais e podemos receber via e-mail e/ou via whatsapp. Os medicamentos que possuem programas de benefício através do site Portal da Drogaria, o usuário informa o CPF e em algumas situações o CRM do prescritor para cadastro e recebimento do benefício. Em situações de benefícios fornecidos ao usuário, pela CAASP, recebemos através de e-mail informações do usuário e os produtos a serem dispensados. Estes documentos são impressos, enviados ao caixa e posteriormente à tesouraria. Para o atendimento ao usuário no caixa solicitamos a apresentação da carteira da OAB, que possui várias informações pessoais, será opcional colocar o CPF no cupom fiscal, para a nota fiscal paulista. Após o registro dos produtos o pagamento pode ser feito através de cheque e cartões de débito e crédito, que contém informações do usuário.;;Lançamentos de receitas no SEMC.;Parcialmente;Computador, E-mail, Pastas de Rede Compartilhada, Pastas e documentos no Celular;CAASP - Vice-Presidência;Brasil;Atendimento ao Usuário;Documentos físicos / papel, Google Gmail (E-mail), Intranet, PortaldaDrogaria, SEMC, Identidade do Advogado, Sitef, Whatsapp for Business;Não;Sim;Outros métodos de transferência;Não;Dado referente à Saúde/Dados Médicos;de 10.000 a 100.000;;
Não;;;Indeterminado;Análise e Pesquisa;VERDADEIRO;Não;Q0025932;;OAB/SP - PRESIDÊNCIA - SOCIEDADES DE ADVOGADOS;;;;A alteração do contrato social deve ser feita pela OAB  para viabilizar o efetivo registro nos órgãos competentes. Cumprimento da obrigação é determinado na INSTRUÇÃO NORMATIVA Nº 7/21 da OAB/SP e no Provimento Nº 112/2006,  do CONSELHO FEDERAL DA ORDEM DOS ADVOGADOS DO BRASIL.;Backup ou Cópia de Segurança;;Não;Celular, CPF, E-mail, Nome, OAB n°, RG, Telefone fixo;Contrato;;OAB/SP - PRESIDÊNCIA - SOCIEDADES DE ADVOGADOS - Distrato de Associação entre Sociedades;;Portal do titular e email.;Dados dos advogados(as);;;;;Sim;Art. 7°, II – Cumprimento de Obrigação Regulatória;;;O Distrato Social pode ser protocolada na Secional presencialmente ou por e-mail especifico do departamento, tendo a opção pela Subseção pelo documento físico.  Pela Subseção esse documento vem através de malote e entregue para o departamento do Protocolo Geral, após a separação e cadastramento dessa documentação no sistema da Intranet e distribuído ao departamento de sociedades, onde ocorre a análise e os procedimentos necessários pelos funcionários. Pela Secional e realiza através do email especifico do departamento ou protocolo físico, após a entrada da documentação e entregue para o funcionário fazer análise e ocorrendo menções no documento diferente do que determina as normas para registro, esse documento e encaminhado para o relator apreciar, esse encaminhamento pode ser feito por email ou em malotes, que são encaminhados lacrados na ida e volta do escritório do respectivo relator, e mantidos no malote desde a saída até a devolução ao departamento, o acesso ao departamento é restrito ao funcionário da OAB.;;;Parcialmente;Pastas e Documentos na Nuvem;OAB/SP - Presidência;Braisl;Distrato de Associação entre Sociedades;Intranet;Não;Não;;Não;;de 1.000 a 10.000;;
Não;;;Indeterminado;Análise e Pesquisa;VERDADEIRO;Não;Q0025934;;OAB/SP - PRESIDÊNCIA - SOCIEDADES DE ADVOGADOS;Protocolo geral apenas para cadastro do recebimento e envio do documento, central de informações somente andamento do processo e relator para dar parecer com deferimento ou indeferimento do processo;;;A alteração do contrato social deve ser feita pela OAB  para viabilizar o efetivo registro nos órgãos competentes. Cumprimento da obrigação é determinado na INSTRUÇÃO NORMATIVA Nº 7/21 da OAB/SP e no Provimento Nº 112/2006,  do CONSELHO FEDERAL DA ORDEM DOS ADVOGADOS DO BRASIL.;Backup ou Cópia de Segurança;;Não;Celular, CPF, E-mail, Nome, OAB n°, RG, Telefone fixo, Outros tipos de dados pessoais;Contrato;;OAB/SP - PRESIDÊNCIA - SOCIEDADES DE ADVOGADOS - Distrato Social;;Portal do titular e email.;Dados dos advogados(as);;O pais onde possa estar o interessado(advogado) realizando o protocolo da documentação, tendo em vista que o acesso as informações são realizadas em área restrita e pode ser enviada por e-mail;Endereço;;Sim;Art. 7°, II – Cumprimento de Obrigação Regulatória;;;Distrato Social, pode ser protocolada na Secional presencialmente ou por e-mail especifico do departamento, tendo a opção pela Subseção pelo documento físico.  Pela Subseção esse documento vem através de malote e entregue para o departamento do Protocolo Geral, após a separação e cadastramento dessa documentação no sistema da Intranet e distribuído ao departamento de sociedades, onde ocorre a análise e os procedimentos necessários pelos funcionários. Pela Secional e realiza através do email especifico do departamento ou protocolo físico, após a entrada da documentação e entregue para o funcionário fazer análise e ocorrendo menções no documento diferente do que determina as normas para registro, esse documento e encaminhado para o relator apreciar, esse encaminhamento pode ser feito por email ou em malotes, que são encaminhados lacrados na ida e volta do escritório do respectivo relator, e mantidos no malote desde a saída até a devolução ao departamento, o acesso ao departamento é restrito ao funcionário da OAB.;;;Parcialmente;Pastas e Documentos na Nuvem;OAB/SP - Presidência;Brasil;DISTRATO SOCIAL;Intranet, Google Gmail (E-mail);Não;Sim;;Sim;;de 1.000 a 10.000;;
;;cadastro em sistema;Indeterminado;Atividades Administrativas;VERDADEIRO;Não;Q0025935;;CAASP - TESOURARIA - FINANCEIRO;Setores de Benefícios, Central de Atendimento, Informática, Farmácia*, Livraria* (supervisão*);;Atividades Administrativas;"ARTIGO 4ª ESTATUTO DA CAASP (CONCEDER BENEFÍCIOS AOS ADV E FAMÍLIA) - ""A CAASP tem por finalidade assistir, dentro das possibilidades de seu orçamento, os advogados, estagiários e seus dependentes, na forma prevista neste Estatuto e na legislação própria""  ARTIGO 62 EAOAB - Art. 62. A Caixa de Assistência dos Advogados, com personalidade jurídica própria, destina-se a prestar assistência aos inscritos no Conselho Seccional a que se vincule.  ";Controle de Acesso;;Não;OAB n°, Nome, Outros tipos de dados pessoais;Outras fontes de Dados;;CAASP - TESOURARIA - FINANCEIRO - Consulta de restrições;;Portal do titular e email;Dados dos advogados(as), Dados dos estagiários(as);;;dependente, motivo da restrição, dados do cheque devolvido.;;Sim;Art. 7°, II – Cumprimento de Obrigação Legal;;;Acesso pelo sistema  ao n.º OAB, nome advogado, dependente, motivo da restrição, dados do cheque devolvido.;;;Sim;Sistemas/ Aplicativos de Terceiros;CAASP - Tesouraria;Brasil;Consulta de restrições - Q0025935;Intranet;;Sim;;Não;;de 100.000 a 1.000.000;;
Não;Anos;;3;Atividades de Consultorias;VERDADEIRO;Sim;Q0025936;;OAB/SP - SECRETARIA GERAL ADJUNTA - DEPARTAMENTO DE GESTÃO INTEGRADA - DGI;;Entidade Profissional Reguladora;;Cumprimento de obrigação regulatória de conformidade. Norma ISO 9001;Backup ou Cópia de Segurança;;Não;Histórico de compras, Histórico de pesquisas online, Nome, Outros tipos de dados pessoais;Monitoramento de Atividade Online, Via física;;OAB/SP - SECRETARIA GERAL ADJUNTA - DEPARTAMENTO DE GESTÃO INTEGRADA - DGI - Auditoria Externa;;;Dados de empregados, Dados dos advogados(as), Dados dos estagiários(as), Dados de prestadores de serviços - pessoa física;Seguimos os requisitos normativos e dentre eles temos a Política da Qualidade da Secional, manual da qualidade e procedimentos que determinam como são os processos certificados.;;Evidências de treinamentos e qualificação dos colaboradores.;;Não;Art. 7°, II – Cumprimento de Obrigação Regulatória;;;Processo de aplicação de Auditoria Externa  ISO 9001 se inicia na contratação da certificadora (fornecedor) conforme os requisitos do processo de compras/ contrato neste processo informamos ao fornecedor dados o escopo da OAB - SP, bem como a quantidade de colaboradores em todos os postos de trabalho.  É realizado junto com a certificadora o  plano das auditorias, onde disponibilizamos os endereços dos postos de trabalho que serão auditados. Após providenciamos recursos como: logística.  hospedagem e despesas extras como alimentação, combustível e pedágios. Durante o evento de auditoria é registrado pelo auditor as evidências dos processos sendo que é possível o registro de nomes dos colaboradores e diretoria, bem como informações sobre as pesquisas de satisfação. O processo é finalizado após o recebimento do relatório final com os resultados obtidos na auditoria externa. Quanto ao tratamento de dados este processo é resguardado o sigilo em contrato onde fica especificado que todas as informações serão tratadas de forma confidencial.;;;Parcialmente;E-mail, Pastas de Rede Compartilhada;OAB/SP - Secretaria Geral Adjunta;Brasil;DGI - 3;Google Calendar (Agenda), Documentos físicos / papel, Intranet, Servidor de Arquivos, TOTVS - Contratos, Google Gmail (E-mail);Não;Não;Cópia Eletrônica de Documentos, Documentos Físicos;Não;;de  0 a 1.000;;
Não sei;indeterminado;;Não sei;Atividades Administrativas;VERDADEIRO;Sim;Q0025937;;OAB/SP - TESOURARIA - CONTROLADORIA - SETOR INFORMAÇÕES GERENCIAIS;;"Instituições Bancárias, Empresas Privadas (especificar quais no campo ""Nome dos Terceiros"")";Atividades Administrativas, Parceiros de Negócio;Os dados pessoais constantes da Ficha Cadastral sob análise são tratados em função do contrato de trabalho dos titulares dos respectivos dados, na qualidade de diretores da entidade (representantes legais). ;Controle de Acesso;;Não;CPF;Site;;OAB/SP - TESOURARIA - CONTROLADORIA - SETOR INFORMAÇÕES GERENCIAIS - Ficha Cadastral;Alelo.;;Dados dos advogados(as);;;;;Não;Art. 7°, V – execução de contrato ou de procedimentos preliminares;;;Atualização de Ficha Cadastral da OAB/SP para apresentação a instituições bancárias e empresas/parceiros de negócio.;;;Não;Planilhas;OAB/SP - Tesouraria;Brasil;Ficha Cadastral;Google Gmail (E-mail);Não sei;Não sei;E-Mail;Não;;de  0 a 1.000;;
Não;;;Indeterminado;Análise e Pesquisa;VERDADEIRO;Não;Q0025938;;OAB/SP - PRESIDÊNCIA - SOCIEDADES DE ADVOGADOS;;;;A alteração do contrato social deve ser feita pela OAB  para viabilizar o efetivo registro nos órgãos competentes. Cumprimento da obrigação é determinada na INSTRUÇÃO NORMATIVA Nº 7/21 da OAB/SP e no Provimento Nº 112/2006,  do CONSELHO FEDERAL DA ORDEM DOS ADVOGADOS DO BRASIL.;Backup ou Cópia de Segurança;;Não;Celular, CPF, E-mail, Nome, OAB n°, Telefone fixo;Contrato;;OAB/SP - PRESIDÊNCIA - SOCIEDADES DE ADVOGADOS - Incorporação;;Portal do Titular e Email;Dados dos advogados(as);;;;;Sim;Art. 7°, II – Cumprimento de Obrigação Regulatória;;;Incorporação, pode ser protocolada na Secional presencialmente ou por e-mail especifico do departamento, tendo a opção pela Subseção pelo documento físico.  Pela Subseção esse documento vem através de malote e entregue para o departamento do Protocolo Geral, após a separação e cadastramento dessa documentação no sistema da Intranet e distribuído ao departamento de sociedades, onde ocorre a análise e os procedimentos necessários pelos funcionários. Pela Secional e realiza através do email especifico do departamento ou protocolo físico, após a entrada da documentação e entregue para o funcionário fazer análise e ocorrendo menções no documento diferente do que determina as normas para registro, esse documento e encaminhado para o relator apreciar, esse encaminhamento pode ser feito por email ou em malotes, que são encaminhados lacrados na ida e volta do escritório do respectivo relator, e mantidos no malote desde a saída até a devolução ao departamento, o acesso ao departamento é restrito ao funcionário da OAB.;;;Parcialmente;Pastas e Documentos na Nuvem;OAB/SP - Presidência;Brasil;Incorporação;Intranet;Não;Não;;Não;;de  0 a 1.000;;
